age_group,race,income,gender,JOBSAT_W157,JOBSEC_W157,AIWRKOPPO_W157,AIWRKFEEL_c_W157,AIWRKHEARD_W157,CHATWRK_W157,WEIGHT_W157
50-64,White,Middle,Male,2.0,2.0,2.0,1.0,2.0,,1.408658049601175
30-49,White,Upper,Male,3.0,2.0,3.0,2.0,2.0,3.0,0.7322198829845005
30-49,White,Middle,Male,1.0,1.0,3.0,2.0,2.0,5.0,1.3550960793938829
30-49,White,Upper,Male,3.0,2.0,3.0,2.0,2.0,5.0,0.3709083038020689
30-49,White,Middle,Female,4.0,3.0,2.0,1.0,2.0,5.0,0.5988586856241931
30-49,White,Middle,Female,3.0,3.0,2.0,1.0,2.0,,1.425034551275186
18-29,White,Middle,Female,5.0,4.0,3.0,1.0,1.0,5.0,1.205462110294894
30-49,White,Upper,Female,3.0,3.0,4.0,1.0,1.0,2.0,0.6345175373465297
30-49,Hispanic,Low,Male,3.0,3.0,2.0,1.0,2.0,5.0,1.5852502551205714
30-49,Black,Low,Female,3.0,4.0,,,3.0,,1.3676407248538598
50-64,White,Middle,Male,5.0,5.0,2.0,1.0,2.0,,0.9323142617827688
30-49,White,Low,Female,2.0,3.0,2.0,1.0,1.0,5.0,0.4233362927308344
30-49,White,Middle,Male,4.0,4.0,2.0,1.0,2.0,5.0,0.6165850218342259
50-64,Black,Low,Male,2.0,1.0,2.0,2.0,2.0,5.0,0.5079073815437773
18-29,White,Low,Female,3.0,2.0,3.0,2.0,2.0,5.0,1.261281305191887
50-64,Black,Middle,Female,3.0,3.0,,,3.0,,0.5116646216040176
50-64,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,0.7283613853051738
30-49,White,Upper,Male,3.0,2.0,4.0,2.0,2.0,5.0,0.6445209052504906
30-49,Asian,Middle,Female,3.0,3.0,3.0,2.0,1.0,2.0,0.5823744504229141
30-49,White,Middle,Male,3.0,2.0,3.0,2.0,1.0,4.0,0.7273354152647495
50-64,Other,Middle,Female,2.0,2.0,2.0,1.0,2.0,5.0,0.3914044306700291
50-64,White,Middle,Female,3.0,2.0,4.0,1.0,2.0,4.0,0.9862064061258076
30-49,White,Upper,Female,2.0,1.0,3.0,2.0,1.0,3.0,0.5450841604442949
18-29,White,Low,Female,4.0,3.0,2.0,1.0,2.0,,3.7829322247591985
50-64,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,,0.5965117440206587
30-49,White,Middle,Male,1.0,1.0,3.0,2.0,1.0,3.0,0.5128571854185795
50-64,Black,Middle,Male,1.0,1.0,2.0,2.0,1.0,4.0,0.6141533696332954
50-64,White,Middle,Male,3.0,4.0,2.0,1.0,1.0,3.0,0.5360021114879183
30-49,Asian,Low,Female,3.0,2.0,4.0,2.0,2.0,4.0,0.4092862874362986
30-49,Other,Middle,Female,3.0,1.0,4.0,1.0,2.0,5.0,0.9844543807151188
50-64,White,Upper,Female,3.0,3.0,1.0,2.0,2.0,5.0,1.1854161959350624
18-29,White,Middle,Other,2.0,2.0,2.0,1.0,2.0,5.0,1.8041823857437556
50-64,White,Upper,Male,3.0,2.0,2.0,1.0,2.0,2.0,0.775964740009496
18-29,White,Middle,Male,1.0,1.0,3.0,1.0,1.0,5.0,1.3222772628125985
18-29,Other,Middle,Other,2.0,1.0,2.0,1.0,1.0,3.0,1.5697973492212671
30-49,White,Middle,Male,2.0,3.0,,,3.0,,0.9319714339951978
30-49,White,Middle,Female,2.0,5.0,2.0,1.0,2.0,5.0,1.1531346934504143
50-64,White,Upper,Male,3.0,3.0,3.0,1.0,2.0,4.0,0.5987132895328316
30-49,White,Middle,Male,2.0,2.0,2.0,1.0,2.0,5.0,0.9477752504630574
30-49,White,Middle,Female,2.0,3.0,3.0,1.0,1.0,2.0,0.1992558171134416
30-49,Asian,Middle,Female,2.0,1.0,3.0,2.0,2.0,5.0,1.0654710938930037
30-49,White,Upper,Female,3.0,4.0,3.0,1.0,2.0,5.0,0.3611535655661486
30-49,White,Middle,Male,2.0,1.0,,,3.0,5.0,0.9902491511712512
65+,White,Upper,,1.0,1.0,,,3.0,,0.9292766097534456
30-49,Asian,Middle,Female,3.0,2.0,3.0,1.0,1.0,,0.6560535100695055
65+,White,Middle,Male,3.0,3.0,4.0,2.0,2.0,,0.6543427697610443
30-49,Hispanic,Upper,Male,3.0,2.0,2.0,1.0,2.0,4.0,0.3377229600301883
30-49,White,Middle,Female,3.0,4.0,2.0,1.0,2.0,3.0,1.0473781318078172
50-64,White,Upper,Female,5.0,5.0,2.0,1.0,2.0,5.0,0.5193968948124065
30-49,White,Middle,Female,3.0,4.0,3.0,1.0,2.0,5.0,1.1914560474597788
30-49,White,Middle,Male,2.0,1.0,2.0,2.0,1.0,5.0,0.8241514168776392
30-49,White,Middle,Female,3.0,2.0,3.0,2.0,2.0,5.0,1.3315140254662106
50-64,White,Middle,Female,2.0,1.0,3.0,2.0,2.0,4.0,0.3747533957873694
18-29,White,Middle,Female,3.0,2.0,,,3.0,,1.067984081316118
18-29,White,Middle,Other,2.0,3.0,1.0,1.0,2.0,4.0,0.3891868999588995
30-49,White,Middle,Female,3.0,3.0,2.0,1.0,1.0,1.0,0.8051609539701275
30-49,Black,Upper,Female,2.0,1.0,3.0,2.0,1.0,2.0,0.3952465225415013
30-49,Hispanic,Middle,Female,3.0,3.0,2.0,1.0,1.0,3.0,0.7110308529307633
18-29,Other,Middle,Male,4.0,5.0,2.0,2.0,1.0,1.0,4.180697751954188
30-49,Hispanic,Middle,Male,2.0,2.0,3.0,1.0,2.0,5.0,1.7671056248700152
18-29,White,Middle,Male,2.0,2.0,2.0,1.0,1.0,2.0,2.358258246961932
30-49,Black,Upper,Female,2.0,2.0,2.0,1.0,1.0,5.0,0.6233692258388474
50-64,Other,Low,Male,3.0,5.0,2.0,2.0,2.0,3.0,0.6293573362050671
65+,Other,Middle,Female,1.0,1.0,4.0,1.0,2.0,,0.4819453356521601
50-64,White,Upper,Male,3.0,1.0,3.0,1.0,2.0,5.0,0.4108388859872255
30-49,Hispanic,Low,Male,4.0,4.0,1.0,1.0,2.0,3.0,0.6006694280271322
30-49,White,Upper,Female,3.0,2.0,3.0,1.0,1.0,5.0,0.3251356917523522
18-29,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,3.0,0.925317585529896
50-64,Asian,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.3529733644780691
30-49,White,Middle,Male,3.0,1.0,,,3.0,,0.8030098696704849
30-49,White,Middle,Male,3.0,2.0,2.0,1.0,2.0,5.0,0.9831970979948664
30-49,White,Upper,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.3845038286403272
30-49,Black,Low,Female,3.0,3.0,2.0,1.0,1.0,5.0,1.396126605327482
