race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
White,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Doing okay,Somewhat better off,Yes,,Yes,0.6149
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.8301
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Doing okay,About the same,No,No,Yes,0.4447
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.8333
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,No,No,Yes,0.9064
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.247
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,Yes,No,0.8743
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.4015
White,"$50,000–$99,999",High school degree or GED,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.9624
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.5285
White,"Less than $25,000",Bachelor's degree or more,75+,Female,Doing okay,Somewhat better off,Yes,,Yes,0.5535
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.5601
White,"$25,000–$49,999",High school degree or GED,75+,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.6871
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Just getting by,About the same,Yes,,No,0.5461
Other,"$50,000–$99,999",High school degree or GED,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.8006
Black,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7197
White,"$100,000 or more",High school degree or GED,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.042
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.7856
Hispanic,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,Much worse off,Yes,,Yes,0.5007
Other,"Less than $25,000",Bachelor's degree or more,65-74,Male,Finding it difficult to get by,Much worse off,No,No,No,0.5813
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.743
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2567
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4447
Hispanic,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,Much better off,Yes,,Yes,1.0324
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,Yes,,Yes,0.8638
Black,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.7194
White,"$100,000 or more",High school degree or GED,55-64,Female,Doing okay,Much worse off,No,Yes,Yes,1.3756
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.5107
Black,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.8361
White,"$50,000–$99,999",High school degree or GED,75+,Male,Living comfortably,About the same,No,Yes,Yes,1.0108
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.0357
Asian,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,No,Yes,Yes,1.6545
Asian,"Less than $25,000",Bachelor's degree or more,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.6201
White,"$25,000–$49,999",High school degree or GED,55-64,Female,Doing okay,About the same,Yes,,Yes,0.6871
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Just getting by,About the same,No,Yes,No,0.9613
White,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,Yes,,Yes,0.9672
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Just getting by,Much worse off,No,No,No,0.652
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Just getting by,Somewhat worse off,No,No,No,0.86
Asian,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.9474
Other,"Less than $25,000",High school degree or GED,18-24,Male,Just getting by,Much worse off,No,No,No,0.6328
Asian,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,1.3811
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6762
